
1. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 9
9 : 7 8 10
10 : 9 11 12
11 : 10 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

2. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 10 11
10 : 8 9 12
11 : 9 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

3. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 11 12
10 : 8 11 13
11 : 9 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

4. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 11 12
10 : 8 13 14
11 : 9 12 13
12 : 9 11 14
13 : 10 11 14
14 : 10 12 13

5. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 11 12
10 : 8 13 14
11 : 9 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

6. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 9 10
9 : 7 8 11
10 : 7 8 12
11 : 9 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

7. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 9 11
9 : 7 8 10
10 : 7 9 12
11 : 8 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

8. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 9 11
9 : 7 8 12
10 : 7 11 13
11 : 8 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

9. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 9 11
9 : 7 8 12
10 : 7 12 13
11 : 8 13 14
12 : 9 10 14
13 : 10 11 14
14 : 11 12 13

10. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 9 11
9 : 7 8 12
10 : 7 13 14
