
1. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 9
9 : 7 8 10
10 : 9 11 12
11 : 10 12 13
12 : 10 11 14
13 : 11 15 16
14 : 12 15 16
15 : 13 14 16
16 : 13 14 15

2. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 9
9 : 7 8 10
10 : 9 11 12
11 : 10 13 14
12 : 10 13 15
13 : 11 12 16
14 : 11 15 16
15 : 12 14 16
16 : 13 14 15

3. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 9
9 : 7 8 10
10 : 9 11 12
11 : 10 13 14
12 : 10 15 16
13 : 11 14 15
14 : 11 13 16
15 : 12 13 16
16 : 12 14 15

4. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 9
9 : 7 8 10
10 : 9 11 12
11 : 10 13 14
12 : 10 15 16
13 : 11 15 16
14 : 11 15 16
15 : 12 13 14
16 : 12 13 14

5. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 10 11
10 : 8 9 11
11 : 9 10 12
12 : 11 13 14
13 : 12 15 16
14 : 12 15 16
15 : 13 14 16
16 : 13 14 15

6. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 10 11
10 : 8 9 12
11 : 9 12 13
12 : 10 11 14
13 : 11 15 16
14 : 12 15 16
15 : 13 14 16
16 : 13 14 15

7. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 10 11
10 : 8 9 12
11 : 9 13 14
12 : 10 13 15
13 : 11 12 16
14 : 11 15 16
15 : 12 14 16
16 : 13 14 15

8. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 10 11
10 : 8 9 12
11 : 9 13 14
12 : 10 15 16
13 : 11 14 15
14 : 11 13 16
15 : 12 13 16
16 : 12 14 15

9. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 8 9
8 : 6 7 10
9 : 7 10 11
