
1. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 7
4 : 1 2 3 8 9 10
5 : 1 2 3 8 9 11
6 : 1 2 3 8 10 11
7 : 1 2 3 9 10 11
8 : 4 5 6 9 10 11
9 : 4 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

2. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 5 8 9
5 : 1 2 3 4 10 11
6 : 1 2 3 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 7 9 10 11
9 : 4 6 7 8 10 11
10 : 5 6 7 8 9 11
11 : 5 6 7 8 9 10

3. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 5 9 10
5 : 1 2 3 4 9 11
6 : 1 2 3 8 10 11
7 : 1 2 8 9 10 11
8 : 3 6 7 9 10 11
9 : 4 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

4. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 7 8 9
5 : 1 2 3 8 10 11
6 : 1 2 3 9 10 11
7 : 1 2 4 9 10 11
8 : 3 4 5 9 10 11
9 : 4 6 7 8 10 11
10 : 5 6 7 8 9 11
11 : 5 6 7 8 9 10

5. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 7 8 9
5 : 1 2 3 9 10 11
6 : 1 2 3 9 10 11
7 : 1 2 4 8 10 11
8 : 3 4 7 9 10 11
9 : 4 5 6 8 10 11
10 : 5 6 7 8 9 11
11 : 5 6 7 8 9 10

6. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 7 9 10
5 : 1 2 3 8 9 11
6 : 1 2 3 8 10 11
7 : 1 2 4 9 10 11
8 : 3 5 6 9 10 11
9 : 4 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

7. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 7 9 10
5 : 1 2 3 8 9 11
6 : 1 2 3 9 10 11
7 : 1 2 4 8 10 11
8 : 3 5 7 9 10 11
9 : 4 5 6 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

8. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 8 9 10
5 : 1 2 3 8 9 11
6 : 1 2 3 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 7 10 11
9 : 4 5 6 7 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

9. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 6 8
4 : 1 2 3 8 9 10
5 : 1 2 3 9 10 11
6 : 1 2 3 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 7 9 10 11
9 : 4 5 6 7 8 11
10 : 4 5 6 7 8 11
11 : 5 6 7 8 9 10

10. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 5 8 9
5 : 1 2 3 4 10 11
6 : 1 2 7 8 10 11
7 : 1 2 6 9 10 11
8 : 3 4 6 9 10 11
9 : 3 4 7 8 10 11
10 : 5 6 7 8 9 11
11 : 5 6 7 8 9 10

11. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 5 8 9
5 : 1 2 3 4 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 6 7 10 11
9 : 3 4 6 7 10 11
10 : 5 6 7 8 9 11
11 : 5 6 7 8 9 10

12. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 8 11
6 : 1 2 7 9 10 11
7 : 1 2 6 9 10 11
8 : 3 4 5 9 10 11
9 : 3 6 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

13. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 9 11
6 : 1 2 7 8 10 11
7 : 1 2 6 9 10 11
8 : 3 4 6 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

14. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 9 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 6 7 10 11
9 : 3 5 6 7 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

15. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 9
5 : 1 2 3 7 10 11
6 : 1 2 4 8 10 11
7 : 1 2 5 9 10 11
8 : 3 4 6 9 10 11
9 : 3 4 7 8 10 11
10 : 5 6 7 8 9 11
11 : 5 6 7 8 9 10

16. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 9
5 : 1 2 3 8 10 11
6 : 1 2 4 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 7 10 11
9 : 3 4 6 7 10 11
10 : 5 6 7 8 9 11
11 : 5 6 7 8 9 10

17. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 6 9 11
6 : 1 2 4 5 10 11
7 : 1 2 8 9 10 11
8 : 3 4 7 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

18. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 6 10 11
6 : 1 2 4 5 9 11
7 : 1 2 8 9 10 11
8 : 3 4 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 7 8 9 11
11 : 5 6 7 8 9 10

19. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 8 11
6 : 1 2 4 9 10 11
7 : 1 2 5 9 10 11
8 : 3 4 5 9 10 11
9 : 3 6 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

20. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 9 11
6 : 1 2 4 8 10 11
7 : 1 2 5 9 10 11
8 : 3 4 6 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

21. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 9 11
6 : 1 2 4 9 10 11
7 : 1 2 5 8 10 11
8 : 3 4 7 9 10 11
9 : 3 5 6 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

22. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
