
1. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 6
6 : 4 5 7 8
7 : 6 9 10 11
8 : 6 9 10 11
9 : 7 8 10 11
10 : 7 8 9 11
11 : 7 8 9 10

2. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 7 8 9
7 : 5 6 10 11
8 : 6 9 10 11
9 : 6 8 10 11
10 : 7 8 9 11
11 : 7 8 9 10

3. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 8 9 10
7 : 5 8 9 11
8 : 6 7 10 11
9 : 6 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

4. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 6
5 : 1 2 7 8
6 : 3 4 7 9
7 : 5 6 10 11
8 : 5 9 10 11
9 : 6 8 10 11
10 : 7 8 9 11
11 : 7 8 9 10

5. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 6
5 : 1 2 7 8
6 : 3 4 9 10
7 : 5 8 9 11
8 : 5 7 10 11
9 : 6 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

6. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 6
5 : 1 2 7 8
6 : 3 4 9 10
7 : 5 9 10 11
8 : 5 9 10 11
9 : 6 7 8 11
10 : 6 7 8 11
11 : 7 8 9 10

7. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 6 8
6 : 3 5 7 9
7 : 4 6 10 11
8 : 5 9 10 11
9 : 6 8 10 11
10 : 7 8 9 11
11 : 7 8 9 10

8. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 6 8
6 : 3 5 8 9
7 : 4 9 10 11
8 : 5 6 10 11
9 : 6 7 10 11
10 : 7 8 9 11
11 : 7 8 9 10

9. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 6 8
6 : 3 5 9 10
7 : 4 8 9 11
8 : 5 7 10 11
9 : 6 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

10. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 6 8
6 : 3 5 9 10
7 : 4 9 10 11
8 : 5 9 10 11
9 : 6 7 8 11
10 : 6 7 8 11
11 : 7 8 9 10

11. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 7 8 9
7 : 4 6 10 11
8 : 5 6 10 11
9 : 5 6 10 11
10 : 7 8 9 11
11 : 7 8 9 10

12. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 7 8 10
7 : 4 6 9 11
8 : 5 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

13. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
