
1. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 9
5 : 1 2 3 7 8 9
6 : 1 2 4 7 8 9
7 : 1 2 5 6 8 9
8 : 3 4 5 6 7 9
9 : 3 4 5 6 7 8

2. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 7 8 9
5 : 1 2 3 7 8 9
6 : 1 2 3 7 8 9
7 : 1 4 5 6 8 9
8 : 2 4 5 6 7 9
9 : 3 4 5 6 7 8

3. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 9
5 : 1 2 3 7 8 9
6 : 1 2 4 7 8 9
7 : 1 3 5 6 8 9
8 : 2 4 5 6 7 9
9 : 3 4 5 6 7 8

4. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 8 9
3 : 1 2 6 7 8 9
4 : 1 2 6 7 8 9
5 : 1 2 6 7 8 9
6 : 1 3 4 5 8 9
7 : 1 3 4 5 8 9
8 : 2 3 4 5 6 7
9 : 2 3 4 5 6 7
