
1. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 7
4 : 1 2 3 7 8
5 : 1 2 3 9 10
6 : 1 2 8 9 10
7 : 3 4 8 9 10
8 : 4 6 7 9 10
9 : 5 6 7 8 10
10 : 5 6 7 8 9

2. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 5 7
4 : 1 2 3 8 9
5 : 1 2 3 8 10
6 : 1 2 7 9 10
7 : 3 6 8 9 10
8 : 4 5 7 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

3. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 7 8
5 : 1 2 6 9 10
6 : 1 2 5 9 10
7 : 3 4 8 9 10
8 : 3 4 7 9 10
9 : 5 6 7 8 10
10 : 5 6 7 8 9

4. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 7 8
5 : 1 2 7 9 10
6 : 1 2 8 9 10
7 : 3 4 5 9 10
8 : 3 4 6 9 10
9 : 5 6 7 8 10
10 : 5 6 7 8 9

5. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 7 9
5 : 1 2 6 8 10
6 : 1 2 5 9 10
7 : 3 4 8 9 10
8 : 3 5 7 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

6. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 7 9
5 : 1 2 7 8 10
6 : 1 2 8 9 10
7 : 3 4 5 9 10
8 : 3 5 6 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

7. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 7 9
5 : 1 2 8 9 10
6 : 1 2 8 9 10
7 : 3 4 8 9 10
8 : 3 5 6 7 10
9 : 4 5 6 7 10
10 : 5 6 7 8 9

8. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 9 10
5 : 1 2 6 7 9
6 : 1 2 5 8 10
7 : 3 5 8 9 10
8 : 3 6 7 9 10
9 : 4 5 7 8 10
10 : 4 6 7 8 9

9. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 9 10
5 : 1 2 7 8 9
6 : 1 2 7 8 10
7 : 3 5 6 9 10
8 : 3 5 6 9 10
9 : 4 5 7 8 10
10 : 4 6 7 8 9

10. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 4 7 8
4 : 1 2 3 9 10
5 : 1 2 7 8 9
6 : 1 2 7 9 10
7 : 3 5 6 8 10
8 : 3 5 7 9 10
9 : 4 5 6 8 10
10 : 4 6 7 8 9

11. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 7 8 9
4 : 1 2 7 8 9
5 : 1 2 7 8 10
6 : 1 2 7 9 10
7 : 3 4 5 6 10
8 : 3 4 5 9 10
9 : 3 4 6 8 10
10 : 5 6 7 8 9

12. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 6
3 : 1 2 7 8 9
4 : 1 2 7 8 10
5 : 1 2 7 9 10
6 : 1 2 8 9 10
7 : 3 4 5 8 9
8 : 3 4 6 7 10
9 : 3 5 6 7 10
10 : 4 5 6 8 9

13. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 5 8
4 : 1 2 3 5 9
5 : 1 2 3 4 10
6 : 1 7 8 9 10
7 : 2 6 8 9 10
8 : 3 6 7 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

14. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 5 8
4 : 1 2 3 6 9
5 : 1 2 3 7 10
6 : 1 4 8 9 10
7 : 2 5 8 9 10
8 : 3 6 7 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

15. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 5 8
4 : 1 2 3 6 9
5 : 1 2 3 9 10
6 : 1 4 7 8 10
7 : 2 6 8 9 10
8 : 3 6 7 9 10
9 : 4 5 7 8 10
10 : 5 6 7 8 9

16. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 5 8
4 : 1 2 3 9 10
5 : 1 2 3 9 10
6 : 1 7 8 9 10
7 : 2 6 8 9 10
8 : 3 6 7 9 10
9 : 4 5 6 7 8
10 : 4 5 6 7 8

17. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 7
4 : 1 2 3 8 9
5 : 1 2 6 8 10
6 : 1 3 5 9 10
7 : 2 3 8 9 10
8 : 4 5 7 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

18. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 7
4 : 1 2 3 8 9
5 : 1 2 8 9 10
6 : 1 3 8 9 10
7 : 2 3 8 9 10
8 : 4 5 6 7 10
9 : 4 5 6 7 10
10 : 5 6 7 8 9

19. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 7 9
5 : 1 2 6 8 10
6 : 1 3 5 9 10
7 : 2 4 8 9 10
8 : 3 5 7 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

20. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 7 9
5 : 1 2 6 9 10
6 : 1 3 5 8 10
7 : 2 4 8 9 10
8 : 3 6 7 9 10
9 : 4 5 7 8 10
10 : 5 6 7 8 9

21. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 7 9
5 : 1 2 8 9 10
6 : 1 3 7 8 10
7 : 2 4 6 9 10
8 : 3 5 6 9 10
9 : 4 5 7 8 10
10 : 5 6 7 8 9

22. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 7 9
5 : 1 2 8 9 10
6 : 1 3 7 9 10
7 : 2 4 6 8 10
8 : 3 5 7 9 10
9 : 4 5 6 8 10
10 : 5 6 7 8 9

23. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 7 9
5 : 1 2 8 9 10
6 : 1 3 8 9 10
7 : 2 4 8 9 10
8 : 3 5 6 7 10
9 : 4 5 6 7 10
10 : 5 6 7 8 9

24. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 9 10
5 : 1 2 7 8 9
6 : 1 3 7 8 10
7 : 2 5 6 9 10
8 : 3 5 6 9 10
9 : 4 5 7 8 10
10 : 4 6 7 8 9

25. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 9 10
5 : 1 2 7 8 9
6 : 1 3 7 9 10
7 : 2 5 6 8 10
8 : 3 5 7 9 10
9 : 4 5 6 8 10
10 : 4 6 7 8 9

26. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 9 10
5 : 1 2 7 8 9
6 : 1 3 8 9 10
7 : 2 5 8 9 10
8 : 3 5 6 7 10
9 : 4 5 6 7 10
10 : 4 6 7 8 9

27. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 9 10
5 : 1 2 7 9 10
6 : 1 3 8 9 10
7 : 2 5 8 9 10
8 : 3 6 7 9 10
9 : 4 5 6 7 8
10 : 4 5 6 7 8

28. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 6 8
4 : 1 2 3 9 10
5 : 1 2 8 9 10
6 : 1 3 7 9 10
7 : 2 6 8 9 10
8 : 3 5 7 9 10
9 : 4 5 6 7 8
10 : 4 5 6 7 8

29. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 8 9
4 : 1 2 3 8 10
5 : 1 2 6 7 8
6 : 1 5 7 9 10
7 : 2 5 6 9 10
8 : 3 4 5 9 10
9 : 3 6 7 8 10
10 : 4 6 7 8 9

30. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 8 9
4 : 1 2 3 8 10
5 : 1 2 6 7 9
6 : 1 5 7 8 10
7 : 2 5 6 9 10
8 : 3 4 6 9 10
9 : 3 5 7 8 10
10 : 4 6 7 8 9

31. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 8 9
4 : 1 2 3 8 10
5 : 1 2 6 7 9
6 : 1 5 8 9 10
7 : 2 5 8 9 10
8 : 3 4 6 7 10
9 : 3 5 6 7 10
10 : 4 6 7 8 9

32. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 8 9
4 : 1 2 3 8 10
5 : 1 2 6 8 9
6 : 1 5 7 9 10
7 : 2 6 8 9 10
8 : 3 4 5 7 10
9 : 3 5 6 7 10
10 : 4 6 7 8 9

33. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 8 9
4 : 1 2 3 8 10
5 : 1 2 6 9 10
6 : 1 5 7 8 9
7 : 2 6 8 9 10
8 : 3 4 6 7 10
9 : 3 5 6 7 10
10 : 4 5 7 8 9

34. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 4 8 9
4 : 1 2 3 8 10
5 : 1 2 8 9 10
6 : 1 7 8 9 10
7 : 2 6 8 9 10
8 : 3 4 5 6 7
9 : 3 5 6 7 10
10 : 4 5 6 7 9

35. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 7 8
4 : 1 2 6 8 9
5 : 1 2 7 8 10
6 : 1 3 4 9 10
7 : 2 3 5 9 10
8 : 3 4 5 9 10
9 : 4 6 7 8 10
10 : 5 6 7 8 9

36. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 7 8
4 : 1 2 6 8 9
5 : 1 2 7 9 10
6 : 1 3 4 9 10
7 : 2 3 5 8 10
8 : 3 4 7 9 10
9 : 4 5 6 8 10
10 : 5 6 7 8 9

37. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 7 8
4 : 1 2 6 8 9
5 : 1 2 8 9 10
6 : 1 3 4 9 10
7 : 2 3 8 9 10
8 : 3 4 5 7 10
9 : 4 5 6 7 10
10 : 5 6 7 8 9

38. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 7 8
4 : 1 2 6 9 10
5 : 1 2 7 9 10
6 : 1 3 4 8 9
7 : 2 3 5 8 10
8 : 3 6 7 9 10
9 : 4 5 6 8 10
10 : 4 5 7 8 9

39. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 7 8
4 : 1 2 6 9 10
5 : 1 2 8 9 10
6 : 1 3 4 8 9
7 : 2 3 8 9 10
8 : 3 5 6 7 10
9 : 4 5 6 7 10
10 : 4 5 7 8 9

40. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 7 8
4 : 1 2 6 9 10
5 : 1 2 8 9 10
6 : 1 3 4 9 10
7 : 2 3 8 9 10
8 : 3 5 7 9 10
9 : 4 5 6 7 8
10 : 4 5 6 7 8

41. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 7 8
4 : 1 2 8 9 10
5 : 1 2 8 9 10
6 : 1 3 7 9 10
7 : 2 3 6 9 10
8 : 3 4 5 9 10
9 : 4 5 6 7 8
10 : 4 5 6 7 8

42. Graph gelesen

1 : 2 3 4 5 6
2 : 1 3 4 5 7
3 : 1 2 6 8 9
4 : 1 2 6 8 9
5 : 1 2 8 9 10
6 : 1 3 4 7 10
7 : 2 6 8 9 10
8 : 3 4 5 7 10
9 : 3 4 5 7 10
10 : 5 6 7 8 9

43. Graph gelesen

