
1. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 7 8 9
7 : 4 6 8 9
8 : 5 6 7 9
9 : 5 6 7 8

2. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 7
5 : 1 2 8 9
6 : 3 4 8 9
7 : 3 4 8 9
8 : 5 6 7 9
9 : 5 6 7 8

3. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 8 9
7 : 3 5 8 9
8 : 4 6 7 9
9 : 5 6 7 8

4. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 9
6 : 2 5 8 9
7 : 3 5 8 9
8 : 4 6 7 9
9 : 5 6 7 8

5. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 7 8
5 : 1 3 7 9
6 : 2 3 8 9
7 : 4 5 8 9
8 : 4 6 7 9
9 : 5 6 7 8

6. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 7 9
6 : 2 4 8 9
7 : 3 5 8 9
8 : 4 6 7 9
9 : 5 6 7 8

7. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 8 9
6 : 2 4 7 9
7 : 3 6 8 9
8 : 4 5 7 9
9 : 5 6 7 8

8. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 8 9
6 : 2 7 8 9
7 : 3 4 6 9
8 : 4 5 6 9
9 : 5 6 7 8

9. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 8 9
5 : 1 3 8 9
6 : 2 7 8 9
7 : 3 6 8 9
8 : 4 5 6 7
9 : 4 5 6 7

10. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 7 8
4 : 1 2 7 9
5 : 1 6 7 8
6 : 2 5 8 9
7 : 3 4 5 9
8 : 3 5 6 9
9 : 4 6 7 8

11. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 7 8
4 : 1 2 7 9
5 : 1 6 8 9
6 : 2 5 8 9
7 : 3 4 8 9
8 : 3 5 6 7
9 : 4 5 6 7

12. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 7 8
4 : 1 2 7 9
5 : 1 7 8 9
6 : 2 7 8 9
7 : 3 4 5 6
8 : 3 5 6 9
9 : 4 5 6 8

13. Graph gelesen

1 : 2 3 4 5
2 : 1 3 6 7
3 : 1 2 8 9
4 : 1 5 6 7
5 : 1 4 8 9
6 : 2 4 8 9
7 : 2 4 8 9
8 : 3 5 6 7
9 : 3 5 6 7

14. Graph gelesen

1 : 2 3 4 5
2 : 1 3 6 7
3 : 1 2 8 9
4 : 1 5 6 8
5 : 1 4 7 9
6 : 2 4 7 8
7 : 2 5 6 9
8 : 3 4 6 9
9 : 3 5 7 8

15. Graph gelesen

1 : 2 3 4 5
2 : 1 3 6 7
3 : 1 2 8 9
4 : 1 5 6 8
5 : 1 4 7 9
6 : 2 4 7 9
7 : 2 5 6 8
8 : 3 4 7 9
9 : 3 5 6 8

16. Graph gelesen

1 : 2 3 4 5
2 : 1 3 6 7
3 : 1 2 8 9
4 : 1 6 7 8
5 : 1 6 8 9
6 : 2 4 5 9
7 : 2 4 8 9
8 : 3 4 5 7
9 : 3 5 6 7
