
1. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 6
6 : 4 5 7 8
7 : 6 8 9 10
8 : 6 7 11 12
9 : 7 10 11 12
10 : 7 9 11 12
11 : 8 9 10 12
12 : 8 9 10 11

2. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 6
6 : 4 5 7 8
7 : 6 9 10 11
8 : 6 9 10 12
9 : 7 8 11 12
10 : 7 8 11 12
11 : 7 9 10 12
12 : 8 9 10 11

3. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 7 8 9
7 : 5 6 8 10
8 : 6 7 11 12
9 : 6 10 11 12
10 : 7 9 11 12
11 : 8 9 10 12
12 : 8 9 10 11

4. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 7 8 9
7 : 5 6 10 11
8 : 6 9 10 12
9 : 6 8 11 12
10 : 7 8 11 12
11 : 7 9 10 12
12 : 8 9 10 11

5. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 7 8 9
7 : 5 6 10 11
8 : 6 10 11 12
9 : 6 10 11 12
10 : 7 8 9 12
11 : 7 8 9 12
12 : 8 9 10 11

6. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 8 9 10
7 : 5 8 9 10
8 : 6 7 11 12
9 : 6 7 11 12
10 : 6 7 11 12
11 : 8 9 10 12
12 : 8 9 10 11

7. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 8 9 10
7 : 5 8 9 11
8 : 6 7 10 12
9 : 6 7 11 12
10 : 6 8 11 12
11 : 7 9 10 12
12 : 8 9 10 11

8. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 8 9 10
7 : 5 8 11 12
8 : 6 7 9 10
9 : 6 8 11 12
10 : 6 8 11 12
11 : 7 9 10 12
12 : 7 9 10 11

9. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 5
4 : 1 2 3 6
5 : 1 2 3 7
6 : 4 8 9 10
7 : 5 8 11 12
8 : 6 7 9 11
9 : 6 8 10 12
10 : 6 9 11 12
11 : 7 8 10 12
12 : 7 9 10 11

10. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 6
5 : 1 2 6 7
6 : 3 4 5 8
7 : 5 8 9 10
8 : 6 7 11 12
9 : 7 10 11 12
10 : 7 9 11 12
11 : 8 9 10 12
12 : 8 9 10 11

11. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 6
5 : 1 2 6 7
6 : 3 4 5 8
7 : 5 9 10 11
8 : 6 9 10 12
9 : 7 8 11 12
10 : 7 8 11 12
11 : 7 9 10 12
12 : 8 9 10 11

12. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 6
5 : 1 2 7 8
6 : 3 4 7 8
